,EI1,EI2,EI3,EI4,EI5,EI6,EI7,EI8,JP1,JP2,JP3,JP4,JP5,JP6,JP7,JP8,SN1,SN2,SN3,SN4,SN5,SN6,SN7,TF1,TF2,TF3
212,rather quiet reserved,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,often introduce others,really get know,keep feelings,go,help,organize carefully start,free whatever looks like fun time comes,cramp,nice able plan accordingly,dealing unexpected seeing quickly done,rather enjoy emergency makes work time,factsbased courses,invent way,original individual care whether center attention,imaginative people,enjoy odd original ways saying things,outoftheboxthinking person,someone always coming new ideas,heart rule head,consistently reasonable person,value logic feelings
213,good mixer groups people,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,go,positively depress,organize carefully start,free whatever looks like fun time comes,appeal,nice able plan accordingly,dealing unexpected seeing quickly done,usually plan work wont need work pressure,courses involving opinion theory,accepted way,original individual care whether center attention,realistic people,like writers say exactly mean,outoftheboxthinking person,someone feet ground,heart rule head,person real feeling,value logic feelings
214,rather quiet reserved,full news everybody,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,plan,positively depress,find necessary go along,free whatever looks like fun time comes,cramp,nice able plan accordingly,dealing unexpected seeing quickly done,rather enjoy emergency makes work time,courses involving opinion theory,accepted way,normalacting never make center attention,realistic people,like writers say exactly mean,practical person,someone feet ground,head rule heart,consistently reasonable person,value logic feelings
215,rather quiet reserved,full news everybody,deep friendship people,stand back listen first,find lot say certain people certain conditions,often introduce others,right away,show feelings freely,go,help,organize carefully start,free whatever looks like fun time comes,appeal,nice able plan accordingly,dealing unexpected seeing quickly done,usually plan work wont need work pressure,factsbased courses,invent way,normalacting never make center attention,realistic people,like writers say exactly mean,outoftheboxthinking person,someone always coming new ideas,head rule heart,person real feeling,value logic feelings
216,would say mix options,one last hear going,broad friendships many different people,stand back listen first,find lot say certain people certain conditions,often introduce others,really get know,keep feelings,plan,help,organize carefully start,free whatever looks like fun time comes,appeal,depends situation,decent balance two,rather enjoy emergency makes work time,factsbased courses,invent way,normalacting never make center attention,realistic people,enjoy odd original ways saying things,outoftheboxthinking person,someone always coming new ideas,head rule heart,consistently reasonable person,value emotion logic
217,rather quiet reserved,full news everybody,broad friendships many different people,join talk group,find lot say certain people certain conditions,often introduce others,really get know,keep feelings,plan,stress,find necessary go along,arrange picnics parties etc well advance,cramp,nice able plan accordingly,dealing unexpected seeing quickly done,rather enjoy emergency makes work time,factsbased courses,invent way,normalacting never make center attention,realistic people,enjoy odd original ways saying things,practical person,someone always coming new ideas,heart rule head,person real feeling,value logic feelings
218,good mixer groups people,full news everybody,deep friendship people,join talk group,talk easily almost anyone long,often introduce others,really get know,keep feelings,go,positively depress,find necessary go along,free whatever looks like fun time comes,cramp,little unpleasant tied,dealing unexpected seeing quickly done,rather enjoy emergency makes work time,factsbased courses,invent way,normalacting never make center attention,realistic people,like writers say exactly mean,outoftheboxthinking person,someone feet ground,head rule heart,consistently reasonable person,value logic feelings
219,rather quiet reserved,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,isolate,really get know,keep feelings,go,stress,find necessary go along,free whatever looks like fun time comes,cramp,little unpleasant tied,dealing unexpected seeing quickly done,hate work pressure hate work,courses involving opinion theory,whichever easier,normalacting never make center attention,realistic people,like writers say exactly mean,practical person,someone feet ground,head rule heart,person real feeling,value logic feelings
220,rather quiet reserved,full news everybody,broad friendships many different people,stand back listen first,find lot say certain people certain conditions,often introduce others,right away,keep feelings,plan,help,organize carefully start,arrange picnics parties etc well advance,appeal,nice able plan accordingly,dealing unexpected seeing quickly done,usually plan work wont need work pressure,courses involving opinion theory,invent way,original individual care whether center attention,imaginative people,enjoy odd original ways saying things,outoftheboxthinking person,someone always coming new ideas,head rule heart,person real feeling,value emotion logic
221,rather quiet reserved,full news everybody,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,right away,keep feelings,go,positively depress,find necessary go along,free whatever looks like fun time comes,cramp,little unpleasant tied,dealing unexpected seeing quickly done,rather enjoy emergency makes work time,factsbased courses,invent way,original individual care whether center attention,imaginative people,enjoy odd original ways saying things,outoftheboxthinking person,someone always coming new ideas,head rule heart,consistently reasonable person,value logic feelings
222,rather quiet reserved,full news everybody,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,go,stress plus help,find necessary go along,free whatever looks like fun time comes,cramp,little unpleasant tied,dealing unexpected seeing quickly done,hate work pressure,depends interest could,accepted way,original individual care whether center attention,imaginative people,enjoy odd original ways saying things,practical person,someone feet ground,depends situation,person real feeling,value emotion logic
223,good mixer groups people,full news everybody,deep friendship people,join talk group,talk easily almost anyone long,often introduce others,really get know,show feelings freely,plan,help,organize carefully start,arrange picnics parties etc well advance,appeal,nice able plan accordingly,surprisingly organized person also work really well pressure,usually plan work wont need work pressure,courses involving opinion theory,invent way,original individual care whether center attention,imaginative people,enjoy odd original ways saying things,outoftheboxthinking person,someone always coming new ideas,sometimes heart sometimes mind whatever situation demands,person real feeling,value emotion logic
224,good mixer groups people,full news everybody,broad friendships many different people,join talk group,find lot say certain people certain conditions,get introduced,right away,depends upon situations usually kept negative emotions,plan,help,find necessary go along,free whatever looks like fun time comes,appeal,nice able plan accordingly,dealing unexpected seeing quickly done,rather enjoy emergency makes work time,courses involving opinion theory,invent way,normalacting never make center attention,,like writers say exactly mean,outoftheboxthinking person,someone always coming new ideas,head rule heart,person real feeling,value logic feelings
225,rather quiet reserved,full news everybody,deep friendship people,stand back listen first,talk easily almost anyone long,often introduce others,really get know,keep feelings,plan,help,organize carefully start,free whatever looks like fun time comes,cramp,nice able plan accordingly,dealing unexpected seeing quickly done,usually plan work wont need work pressure,factsbased courses,accepted way,original individual care whether center attention,realistic people,like writers say exactly mean,outoftheboxthinking person,someone feet ground,head rule heart,person real feeling,value logic feelings
226,good mixer groups people,full news everybody,deep friendship people,join talk group,talk easily almost anyone long,get introduced,really get know,keep feelings,plan,help,organize carefully start,arrange picnics parties etc well advance,appeal,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,courses involving opinion theory,invent way,original individual care whether center attention,realistic people,like writers say exactly mean,practical person,someone always coming new ideas,head rule heart,person real feeling,value logic feelings
227,rather quiet reserved,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,plan,help,organize carefully start,free whatever looks like fun time comes,appeal,nice able plan accordingly,dealing unexpected seeing quickly done,usually plan work wont need work pressure,factsbased courses,accepted way,original individual care whether center attention,realistic people,like writers say exactly mean,practical person,someone feet ground,head rule heart,consistently reasonable person,value logic feelings
228,good mixer groups people,one last hear going,deep friendship people,join talk group,find lot say certain people certain conditions,get introduced,right away,keep feelings,plan,help,organize carefully start,free whatever looks like fun time comes,cramp,nice able plan accordingly,following carefully worked plan,hate work pressure,factsbased courses,invent way,original individual care whether center attention,realistic people,like writers say exactly mean,practical person,someone feet ground,heart rule head,person real feeling,value emotion logic
