,EI1,EI2,EI3,EI4,EI5,EI6,EI7,EI8,JP1,JP2,JP3,JP4,JP5,JP6,JP7,JP8,SN1,SN2,SN3,SN4,SN5,SN6,SN7,TF1,TF2,TF3
0,good mixer,last one times,,later,former,,later,rarely shows feelings,plan,help,,later,appeal,former,later,depends,,whatever better,later one,realistic,former,neither,depends,,later,depends
1,reserved,news updated,deep,stand listen,easily talk,introduce others,yes,feeling self,plan go,stress,organise,arranged n planed,schedule,planed,planed,yes planed,fact based,invent,normal acting,realistic,exactly mean,box,new ideas,heart,reasonable,emotions logic
2,depends situation,last hear kinda depend situation,deep friendship,stand back listen people ask opinion,talk alot people find comfortable talk normally everyone else atleast try,rarely join large groups,tell usually talk logical stuff people emotional,keep sometimes bubble burstt,plan,help,organize,depends like arrangements keeps less stressed,appeal make way appealing,nice able plan accordingly,number,plan,,invent way,center attention fine whoever since hate center attention,,depends scenario,box thinking find hard think box sometimes,new ideas like learn new things,dont know,dont know,equally important kind hard know logic emotion sometimes
3,quiet reserved,one last hear whats going,deep friendship people,stand back listen,find lot say certain people,often introduce others,get know,keep feelings,go without plan,positively depress,organize,free whatever,cramp,little unpleasant tied,dealing unexpected,hate work pressure,fact based courses,invent way,original individual care whether center attention,imaginative people,enjoy odd original ways,box thinking person,someone coming new ideas,heart rule head,consistently reasonable person,equally
4,quiet reserved,one last hear going,broad friendships,stand back listen first,certain people certain conditions,get introduced,onlh really get know,keep feelings,plan,help,organize first,arrange beforehand,appeal,nice able plan accordingly,carefully worked plan,plan work,fact based courses,invent way,normalacting ones,imaginative people,like writers say exactly mean,practical person,second one reality based person,head rule heart,yes,value logic feelings
5,start reserved find alike people become good mixer,full new small bunch friends everybody,deep friendship,join,certain people,get introduced,right away,,plan,depress,organize,arranged,appeal onlt schedule aint hectic,nice plan,dealing unexpected,plan work,opinion based,accepted way aint opposite way ill choose accepted way else invent mine,original,realistic,exactly mean,different ways,new ideas,head rule,real feeling,feelings logic
6,good mixer,,deep broad uni,stand back,second one,get intoduced,get know,,ofcourse plan first,positively depress,organize,last one,appeal,first one,first one,sometime plan sometime enjoy emergency,fact based,way,original individual,realistic,first,practical,friend one new ideas,head heart,first,value logic
7,good mixer,full news everybody,deep friendship people,join talk group,talk easily almost anyone long,get introduced,really get know,keep feelings,go without plan,help,find necessary go along,free whatever looks like fun time comes,cramp,nice able plan accordingly,dealing unexpected seeing quickly done,enjoy emergency makes work time,fact based courses,invent way distinguish others,normalacting never make center attention,realistic people,like writers say exactly mean,practical person,someone always coming new ideas,heart rule head,person real feeling,value emotion logic
8,im quiet reserved mostly,im full news everyday,deep friendship people,sometimes join talk sometimes listen first,talk easily almost anyone needed,get introduced,get know,usually keep feelings avoid showing,would go flow dont plan anything,stresses start thinking,usually organize carefully start something important flexible according situation,prefer arrange everything,cramp,ill find nice able plan accordingly,mostly im successful dealing unexpected,enjoy emergency situation work well pressure,ill go courses involving opinion theory,ill thing new way invent method,admire people act normal dont make center attention everytime,realistic people,like odd original ways saying things,practical person,someone always coming new ideas,depends situation mostly head rule heart,higher compliment consistently reasonable person,value logics emotions
9,quiet reserved,full news everyone,broad frienships many different people,join talk,find lot say certain people certain conditions,,really get know,freely,go without plan,stress,organize carefully start,free,cramp,little unpleasant,dealing unexpected,hate work pressure,fact based courses,invent way,admire people never act make center attention,realistic,say exactly mean,,always coming new ideas,heart rules head,person real feeling,emotion logic
10,good mixer,full news,deep friendship,stand back listen first,talk easy anyone long ive necessary,get introduced,really get know,keep feelings,without plan,didnt plan depressing task weekend weekends supposed enjoyed,organize carefully start,prefer arrange time,cramp,little unpleasant,didnt get question correctly,usually plan work,facts based courses,way,normal acting,realistic people,odd original ways,box thinking person,someone always coming new ideas,heart rule head,person real feeling,value logic feelings
11,good mixer,one last hear news,friendship,stand back listen,certain people,get introduced,really get know,keep,plan,helps,organize start,advance,appealing,plan accordingly,carefully worked plan,plan work,opinion theory,invent way,original individual care whether th,realistic people,say exactly mean,practical person,someone new ideas,head rule heart,consistently reasonable person,logic feelings
12,depends,full news everybody,broad friendships many different people,try join talk group relevant,find lot say certain people,introduce others,right way,show feelings freely,time go without plan,stress,organize carefully start,free whatever looks like fun time comes,cramp,little unpleasant tied diwn,following carefully worked plan,hate work pressure,would love teach courses involving opinion theory,like invent way,normal acting never make centre attention,realistic people,like writers say exactly mean,practical person,someone feet ground,heart rule head,real feeling,value logic feeling
13,good mixer,full news everyday,deep friendship people,stand back listen first,find alot say certain people certain conditions,get introduceed,inly really get,keep feelings self,plan place go without plan aam new place,positively depress,find necessary go along,free whatever looks like fun w,cramp,little unpleasant tied,dealing unexpected seeing quickly done,enjoy emergency,courses involving opinions theory,accepted way,normal acting,realistic,original ways,box thinking person,someone always coming new ideas,heart rules mind,consistently reasonable person,value logic feelings
14,depends type peoples like minded prefer good mixer,full news everybody,broad friendships many different people,stand back listen first knowledge usually participate,talk easily anyone long want,get introduced,really get know,show feelings freely,plan,positively depress,organize carefully start,free fun,appeal,nice able plan accordingly,dealing unexpected seeing quickly done,plan work wont need work pressure,fact based courses,things like chances invent way,original individual care whether center attention,realistic people,like writers say exactly mean,practical person,someone always coming new ideas,head rule heart,person real feeling,value logic feelings
15,good mixer,one last hear whats going onhe,deep friendship people,stand back listen first,find lot say certain people certain condition,introduce,really get know,keep feelings,sometimes going plans time unplanned,obviously weekend helps,found necessary going along,arrange picnics parties etc well advance,appeal satisfying,nice able plan accordingly,carefully worked plan,hate work pressure,fact based course,invented way,original individual care whether center attention,realistic people,odd original ways saying things,practical person,always coming new ideas,ruled heart headin,person real feeling,value emotion logic
16,depend group people act,one last,deep friendship,stand back listen,find lot say certain people,depend group people,right away,keep feelings thats able express feelings,depending place going,never make list weekend,plan going along job,free,cramp,nice able plan,following carefully worked plans,plan work,opinion theory,invent way,noraml acting,realistic ones,original ways,practical,first one,heart rules head,person real feeling,logic matters
17,good mixer,middle,broad ones many different people,stand back listen join,talk anyone need conditions,get introduced,get know,keep,usually plan,positively depresses,find nessecary,free whatever,appeal,unpleasant,dealing unexpected,hate work pressure,courses involving opinion theory,invent way,normal acting ones,realistic,say exactly mean,practical,feet ground,heart rule head,consistently reasonable,emotion logic
18,closer good mixer outsiders quite reserved,full news,deep friendship people,listen,find lot say certain people,introduce,really get know,keep self,plan,help,carefully,free whenever get free time,cramp,able plan accordingly,dealing unexpected,manage work properly know things done early late,fact base,depend situation,normal acting,realistic,odd,box,news one,heart rule,real feeling,feelings
19,quiet reserved,one last hear going,deep freinship,stand back listen first,fiind lot say certain people,introduce others,get hate,keep,go without plan,help,organize carefully,free dowhen time comes,cramp,little unpleasant,carefully worked plan,hate work pressurr,opinion theory based,accepted way,original individual care hwter center attention,imaginative people,like writers say exactly nean,box,feet ground,heart rule head,consistent reasonable person,emotion logic
20,quiet reserved,full news everybody,deep friendship people,listen first,dont talk much,get introduced,right way,keep feelings,go without plan,help,necessary things,times come,appeal,plan,worked plan,prefer work according plan dont hate work pressure,fact based courses,accepted way,original one,realistic people like imaginative ones,original ways saying things,practical person,coming new ideas,head rule heart,real feeling,value logic
21,reserved,full news everybody,deep friendship people,join talk group,find lot say certain people certain conditions,get introduced,really get know,keep feelings,yup ill plan day,help,organized carefully,arrange picnics advance,appeal,nice able plan accordingly,dealing unexpected,hate work pressure,fact based course,invent way,normal acting never make center attention,realistic people,odd original ways saying things,box thinking person,coming new ideas,head rule heart,person real feeling,value logic feelings
22,quiet,full news,deep friendship people,stand back listen first,alot say say certain people,introduce others,condition right away usually really get know,feelings,go without plan,stress,organize carefully,prefer arrange picnic parties,appeal,nice able,dealing unexpected,enjoy emergency,fact based courses,invent way,normal acting,imaginative people,original ways saying,box thinking,someone always coming new ideas,heart rule head,person real feeling,value emotions logic
23,im good mixer tbh easily interact group people,haha usually secrets people im full news everybody get easily comfortable discuss among ppl,ways im connected alot people large circle friends however people closed ones,im good listener something appropriate talk join conversation,prefer talk easily almost anyone long else im permanently connected,depends type gathering im im bringing new people gathering introduce situation get introduced others,really get know,often hide feelings keep smile face hide sadness present,usually plan dont take much time depends situation however make sure wallet imp stuff,help alot literally otherwise im puzzled,first analyze thoroughly start work,friends often sudden plans successful rather arranged ones personally prefer proper arranged programsoutings,due sort laziness sometimes cramp,nice able plan accordingly part full dedication really enjoy,dealing unexpected seeing quickly done,due laziness rather enjoy emergency makes work sometimes successfully follow plan well,fact based courses,possible accepted way life short think anything extra,love caring people one,better realistic onesreal ones,enjoy saying things original ways,practical person,someone always coming new ideas,usually listen heart considered one weaknesses,person real feeling,usually value emotion logic everyone feelings care
24,quiet reserved,full news everybody,deep friendship people,stand back listen,find lot say certain people certain conditions,get introduced,really get know,keep feelings,use semistructured method plan initial activities go thw flow plans dont always work,help,organise carefully start make changes along way,arrange picnics parties etc,appeal,nice able plan accordingly,dealing unexpected seeing quickly done,rather enjoy emergency makes work time,courses involving opinionstheories along facts main focus would developing thought process students,invent way,normalacting never make center attention,realistic people,odd original ways saying things,practical person,someone always coming new ideas one usually lot new ideas,let heart rule head,person real feeling,logic emotions
25,quiet reserved,full news,deep friendship,stand back listen first,talk easily almost anyone,introduce others,really get know,keep feelings,plan,help,organize carefully,free whatever looks like fun,appeal,nice able plan accordingly,dealing unexpected seeing quickly,plan work,opinion theory,invent way,original individual care,imaginative people,odd original ways saying things,practical person,someone always coming new ideas,head rule heart,person real feelings,value logic feelings
26,good mixer everyone,last know going,friendship levels like deep friendships make friends daily diverse,first listen,talk anyone,get introduced,takes least three days complete know nature someone days least day noticed,unintentionally time reveal feelings every feeling,without plan think dress may need usually things dont care much,doesnt anything forget everything,find necessary go along,want free,forgetful,yes plan sometimes sometimes follow would find nice dont always make plan,unexpected guess haphazard work impulsive fashion,like work pressure,opinion theories may use facts,would invent way,like original natural people dont fake,love listening imaginative people imaginative,didnt get question like imaginative way saying things,box,would like friend always coming new ideas,heart rules head,none feels like compliment,logic feelings
27,quiet reserved,full news everybody,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,would plan,help,organize carefully,arrange picnics well advance,appeal,nice able plan accordingly,following carefully worked plan,enjoy emergency makes work time,facts based courses,accepted way,normal acting never make center attention,realistic people,like writers say exactly mean,practical person,friend always coming new ideas,head rule heart,person real feeling,value logic feelings
28,good mixer,full news everybody,broad friendships many people,join talk group knowledge regarding topic discussion,talk mostly certain people,introduce others,get know,keep,without plan,positively depress,organize carefully,whatever looks fun,appeal,nice planned,carefully worked plan,enjoy work pressure,fact based courses,invent way,original,realistic people,odd ways like poetry,practical person,coming new ideas,heart rule head,person real feeling,emotional feeling logic
29,quiet reserved,different different friend groups,deep friendship people,stand back listen,talkative around people,get introduced,really get know,keep feelings,without plan,positively depresses,organize carefully,later one,following schedule appealing,nice plan accordingly,carefully worked plans,enjoy emergency makes work,opinion theory,way,normal acting people dont crave attention,depends mood,writers say exactly mean,practical person,someone new ideas,heart head everyday,consistently reasonable person,logic feelings
30,quiet reserved,one last,deep friendship,join talk group,find lot say certain people certain conditions,get introduced,really get know,keep feelings,plans everything,positively depresses,organize,arrange picnics,cramp,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,fact based,invent way,original individual,realistic people,like writers say exactly mean,outoftheboxthinking person,someone always coming new ideas,heart rule head,person real feeling,value logic feelings
31,quite reserved,full news everybody,deep friendship people,stand back listen first,find lot say certain people comfortable,get introduced,really get know,keep feelings,plan going,doesnt effect apply todo list day,,arrange picnics well advance,initials day appeals burden,nice able plan accordingly,good,person usually work hour deadline normally work much time left work,theory courses much easier,accepteed way,admire people doesnt meant become centre attention unintentionally become center attention personality,like thoughts imaginative people personally prefer realistic people,like odds,practical person,someone whilo always coming new ideas,sometimes heart rule head sometimes head rule heart,person real feeling,value logic
32,good mixer,last hear going,deep friendship people,join talk,find lot say certain people certain conditions,often introduce others,really get know,feelings freely,go alone plan day go family dont plan,positively depressed,find necessary,arrange picnics parties,cramp,nice able plan accordingly,following carefully worked plan,hate work pressure,teach fact base courses,asking particular studies accepted way else invent way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,practical person,someone always coming new ideas necessary idea good,heart rule head,person real feeling,emotions logic
33,good mixer,full news everyone,absolutely going deep friendship yes wanna hello hye groups ppl,join talk group,im extrovert talk almost everbody asked long prefer certain ppl,introduce others get introduced im interested introduce personppl,really get know,keep unless know person next understand,dont plan stuff yes necessary know one day going anywhere mind acts according,mostly stress wo kaam pury hi nhi huty,organize carefully,third one,like make schedule wants work according doesnt work,nice able plan accordingly feel unpleasant im interested work,dealing unexpected seeing quickly done,enjoy emergency work actually im habitual work day deadline,courses involving opinion theory may reason want interact peoples thought feelings different things,absolutely invent way feel comfortable accepted way means im interested tired,first one option ie normal acting,ive personality traits go better depends mood,odd original way saying,box thinking person,unable understand question,mostly heart rule head sometime could vice versa,person real feeling,emotion logics
34,good mixer,full news everybody,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,go without plan,stress,organize carefully start,free whatever looks like fun time comes,appeal,little unpleasant tied,dealing unexpected seeing quickly done,rather enjoy emergency makes work time hate work pressure,opinion theory,invent way,original individual care whether center attention,imaginative people,like writers say exactly mean,practical person,someone always coming new ideas,head rule heart,consistently reasonable person,value logic feelings
35,depends peoplegroup,neither,time,listen first,find lot say certain people certain conditions,,really get know,keep feelings,go without plan,helps,dive without organizing find necessary go along,free whatever looks like fun time comes,following schedule appeals,nice able plan accordingly,following carefully worked plan,hate work pressure,courses involving opinion,accepted way violate principles yes accepted way,original,realistic people day,odd original ways saying things,outoftheboxthinking person,id someone feet ground im one coming new ideas need practical advice sometimes,head rule heart,consistently reasonable person,value logic feelings sometimes certain situations emotion overpower logic
36,depending mood,last one,deep,former depending topic,latter,get introduced,latter,keep feelings,plan,stress,organise carefully,arrange,appeal im unable time,nice,carefully worked plan,hate work pressure,fact based,depending situation,admirable factorquality,,former pleasure reading latter relating stem subject,practical,former,im patient depressive illness,dont know,logic
37,im quite reserved,im last hear usually mind business,broad friendships,join talk,certain people certain situations,get introduced,right away,show feelings freely,ill go without plan see done,helps alot list needs allows prioritize,would rather organize getting started,advance,appeals,find nice,following carefully worked plan,hate work pressure,mix better suited choose would go theory based course,accepted way allows get things done quicker little resistance,original individual,realistic people,reading medium say mean witgout feeling boring,practical,feet ground,let hearts rule head,consistently reasonable,logic feelings
38,good mixer people,somewhere middle suppose tending bit towards news side,deep friendships try good terms everyone around,used one joins talks without knowing changed habit friends used tease hanger jo latak jaaye,people person like talk people feel like also like talk otherwise try speak necessary,introduce others time,cant beard think religious reality know lot dunya deen like gaming watch shows movies well people cant know trying know well,keep feelings time stay silent even someone teasing mocking show feelings fight back gets unbearable point,proper plan,make list mind things need start important basis cases procrastinate,make brief idea head start also start job figure things along way,dont like organise picnics part let people would obviously plan well advance,said like brief idea head day necessary follow strictly make changes necessary,find nice plan tasks accordingly dont like changes made plan people,like brief idea head tasks throughout day make changes dealing situation,usually plan things even work pressure well would even say things faster efficient pressure dont always takes toll mental health take stress,fact based courses opinions cant tell someone wrong right wrong answers many cases,cases see accepted way best fastest method use otherwise try think better method,latter dont care people think stand lot guess admire people like,mix necessary small tendancy towards realism still live survive according real life,like easier readers understand writer means message instead happens poetry try make sense written,practical person would say think visualize better others whatever taught also ask questions one else thinks guess box well sense,feet ground seems better obviously need someone knows want life survive world,head rule heart things want comes crushes obviously dont control,person gets chose consistently reasonable important good judgment,value logic also try hurt peoples feelings really try calm tone tell private
39,rather quiet reserved,one last hear us going,deep friendships people,stand back listen first,find lot say ti certain people certain conditions,often get introduced,really get know,show feelings freely,gk without plan,stresses,organize carefully starting,free whatever looks like fun,appeal,nice able plan accordingly,following carefully worked plan,rather enjoy emergency makes work time,fact based courses,invent way,original individual care whether center kf attention,realistic people,like writers say exactly mean,practical person,someone always coming new ideas,head rule heart,person real feeling,value emotion logic
40,complex one usually quit untill one talk oen good mixer,ussally full news since friends like womens mattre,prefre forent cricle wide bit sew pepolw deeplly connected,stand back listen first talk gorup,talk easily almost anyone long,get introduced,really get know,depend person talking,usally plan day go start initial go flow,jsut donet make list plan usally lazy,start inportant go next important,ree whatever looks like fun time comes,appeal,nice able plan accordingly,dealing unexpected seeing quickly,usually plan work wont need work pressure alwys forget ot folow plain,fact based courses becouse imajination wild tell student random made thing,start improve finetune,normalacting never make center attention adpmire acpabke,go well due ot imajenation,like writers say exactly mean,outoftheboxthinking person,someone always coming new ideas,rather depend sistuation import impaction life head forends heart,consistently reasonable person,value logic feelings
41,good mixer reserved,second one,prefer friendship people deep friendship,varies friends group joined contribute part otherwise stand back listen first,rd option,nd option,nd option,share close friends,make plan try follow,list always helps,organized try get full knowledge task starting new special job,nd type mentioned people,st option,st option,st option,belong first group,think take fact based courses,thats based different situations priority mostly follow way,admire first kind people,st type people,nd option,nd option,nd option,human overcome feelings mostly prefer logical,nd option,nd option
42,quiet,last one hear,broad friendship,join talk,talk certain people,get introduced,know,keep,plan,helps,find whats necessary,wait time,cramp,nice able plan,dealing unexpected,normal work pressure,involving theory opinion,way,normal acting,realistic,odd ways,practical person,one coming new ideas,head rules heart,reasonable person,value emotions logic
43,quiet reserved usually,usually last hear going,deep friendship people,usually stand back listen first speak needed,share things certain people know completely trust,get introduced quiet person generally avoids unnecessary attention,need get really know find,always show feelings people close incredibly great hiding feelings know wont catered,would rather plan day avoid confusions make sure anyone going page,idea might help looking amount things needed done might bring stress,like organize carefully start,arrange well advance,disciplined person like like schedule appeal,depends needs done planning accordingly always helps,successful following carefully worked plan,plan work generally like working pressure,fact based courses,accepted way,original individual atleast dont pretend someone theyre nott,realistic people todays world,writer like odd ways getting message across adds depth talked,practical person,feet ground friends new ideas balance would great,let head rule heart,consistently reasonable people know keep things getting nerves maybe better compliment,value logic emotions negating emotions isnt something needs done allowed feel things important let emotions get way things
44,good mixer,full news every body,deep friendship people,back listen firs,talk easily almost anyone long,get introduced,none,feelings,plan,help,organize carefully start,arrange picnics parties etc well advance,cramp,able plan accordingly,none,none,fact based courses,accepted way,original individual care whether center attention,realistic people,original ways saying things,practical person,none,heart rule head,person real feeling,emotion logic
45,quiet reserved,full news everybody,broad friendship different peoples,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep,ill plan,positively depress stresses,find necessary go along,whatever looks fun time comes,cramps,nice able plan accordingly often,dealing unexpected seeing done,rather enjoy emergency makes work time,opinion theory,invent way,normally acting never make center attention,realistic people,odd original ways saying things,practical person,someone always coming new ideas,let head rule heart often,consistently reasonable person maybe,value emotions logic
46,depends situation,last one,deep,stand back listen first,talk easily anyone,get introduced,get know,keep mine,plan go,helps,carefully start,whatever looks like,appeal,nice able plan accordingly,carefully worked plan,,fact based,invent way,original,realistic,odd,box thinking,coming new ideas,heart,person real feeling,emotion logic
47,good mixer,st one,deep,talk,easily talk,introduce others,right away,express,actually like spontaneous,help,organized,whenever,appeal,according plan,plan work,plan hate work pressure,fact based,accepted way,nd option,imaginative,nd option,practical person,,heart rule head,real,feeling
48,,one last hear going,deep friendship people,join talk,easily almost anyone,get introduced,right way,keep feelings,go without plan,stress,organize carefully start,free,cramp,nice able,,enjoy emergency,fact based courses,imvent way,normal acting,realistic,odd original way,practical,feet,heart rule head,real feeling,value logic
49,usually lay somewhere,somewhere,like deep friendships,stand back listen first,talk easily almost anyone long,introduce others,usually really get know,usually keep feeling self,go somewhere day mostly plan,direct focus hence helps,find necessary go along,sort things,appeal,little unpleasant tied,,usually plan work wont need work pressure,teacher would prefer teach fact logic based courses,usually always like invent way something,admire people normalacting never make center attention,realistic one,reading pleasure enjoy odd original ways saying things,,friend someone always coming new ideas,often let heart rule head,consistently reasonable person,usually give value logic feelings
50,quiet reserved,one,one,second,one,second,one,one,go without plan mostly,help,one,one,one,one,one,one,fact based,one,one,one,one,one,,second one,one,second
51,good mixer groups people,full news everybody,deep friendship,join talk,talk easily almost anyone,introduce others,know,keep,plan going,help,findout necessary go along,arranged plans,cramp,little unpleasant,dealing unexpectwd,hate work pressure,involvement opiniontheory,invent method,original individual care wether centre attention,realistic preferably,odd original ways saying things,practical,coming new ideas,head rule heart,person real feeling,logic emotion
52,quiet reserved,one last hear going,broad friendships different people,stand back listen first,talk easily almost anyone long,get introduced,really get know,keep feelings self,go without plan,positively depress,find necessary go along,free whatever,looks appealing cramps irl,nice able plan accordingly,second option,hate work pressure create schedules stuff always end following end work pressure meet deadlines,courses involving opinion theory,invent way,original individual care whether center attention,equally,odd original ways saying things,box thinking person,someone coming new ideas,heart rules head,person real feeling,emotion logic
53,depends group,full news,kinds friends deep connections also many different people deep,stand back listen first,talk easily,introduce others,really get know sometimes even,expressive,trifle plannings wholly,helps,starts organizing time keep changing plans per needed,free,appeal,nice,,plan work,fact based,way,normal acting,imaginative side realistic people love explore,original ways,box thinking person,new ideas,,real feeling,emotions logic would make logic comprehensible
54,quiet reserved,last hear whats going,deep friendships people,stand back,find lot,get introduced,getting know,keep feelings,go without plan go flow,stresses,organize first,free,cramp,unpleasant,worked plan,hate work underpressure,fact based courses,accepted way,normal acting,realistic,odd ways,practical person,feet ground,head rule heart,person real feeling,emotions
55,yea,full news,deep,stand back,talk easily,get introduced,get know,keep myslef,plan little,stress,organize,arranged,cramp,unpleasant,done,emergency,fact based,accepted way,normal acting,imaginative,mean,practical,feet ground,head,real,emotion logic
56,good mixer,full news everybody,deep friendship people,join,talk easily almost anyone,introduce others,really get know,keep,mostly unplanned,stress,find wha neccessary go along,free whatever looks like fun time comes,apeal,nice able plan accordingly,dealing unexpected,rather enjoy emergency,fact based,invent way,second one,imaginative,enjoy odd ways,,someone coming new ideas,head rule heart,consistently reasonable person,logic feelings
57,good mixer,last hear going,broad frienships many diffrent people,stand back listen first,talk easily almost anyone,often introduce others,get know,keep feeling,plan,help,organize carefully start,free whatever looks like fun time comes,appeal,find nice,following carefully worked plan,enjoy emergency makes work time,course involving theory,invent way,normal acting never make center attention,realistic people,like writer say exactly mean,practical person,friend always come new ideas,head rule heart,person real feeling,value logic feeling
58,quiet person open around people think genuine,one last hear whats going,deep friendship people,stand back listen first,find lot say certain people,get introduced,right away,kept feelings past recent times started open close people,usually plan day avoid considering uncertainty life sometimes things dont go according keep calm,helps,organize carefully starting,free whatever looks like fun time comes,appeals,nice able plan accordingly,sure experienced success ways,enjoy emergency makes work time,courses involving opinions students,invent way,original individual care whether center attention,simple answer question people aware reality still imaginative big dreams aspirations,like writers say exactly mean,outoftheboxthinking person,someone always coming new ideas,head rule heart,person real feeling,value emotion logic
59,yapper,never find,friendly friends,judge standing opinion,talk easily anyone,approach groups already know majority group,right away vibe dumbass,gods strongest yapper,plan,makes sleep intense,learn along way,whatevers fun,diagust,forget,worked plan,enjoy lastminute hustle,would kill,accepted way,normal acting,delulu solulu,odd unique ways,practical,grounded reality,procrastinate till everything works,real feeling,balance logic triumphs
60,quiet reserved,probably last one hear whats going,deep friendships,stand back listen,certain people certain conditions,get introduced,get know,keep,plan go somewhere,helps,find necessary,free whatever looks fun,appeal,find unpleasant,following worked plan,hate work pressure,opinion theory,accepted eay,original individual,imaginative people,odd original ways,practical,feet ground,heart rule head,person real feeling,emotions
61,quiet reserved,one last hear,deep friendship people,stand back listen first,find lot say certain people,get introduced,get know,depends person im,go without plan,stress meee,organize carefully starting,arrange events advance,cramp,little unpleasant tied,carefully worked plan,dont need work pressure,courses involving opinion theory,depend thing im,norma acting never make center attention,realistic people,say exactly mean,ehmm guess,,heart rule head,person real feeling,value emotions
62,quiet reserve,one last,broad friendships,stand back listen first,certain people,nothing nothing happened,yes say iam interested,feelings,without plan sometime plan,help,carefully organized,ya free,appeal,nice,plan,plan work,fact,way,normal acting never make centre attraction,realistic people,enjoy odd,box,friend called always coming ideas,head rule,reasonable person,emotions
63,well im good mixer group people im familiar,oh im definitely last hear whats going,personally enjoy deep friendship peoples believe quality quantity important comes friendship,well im good listener definitely enjoying joining talks group standing back listen first,find talk easily almost anyone long,like get introduced,often accurate people understand interests theyve chance really get know,well try best open expressive feelings,planning much fun,well making list get done weekend definitely helps helps focus task,would prefer st one organize carefully start planning ahead helps stay focused,prefer arrange picnics parties etc advance allow prepare details make extra special,following schedule definitely appeals gives sense structure helps stay organized focused tasks,find nice able plan accordingly things settled well advance,im definitely better dealing unexpected quickly figuring needs done enjoy challenge adapting new situations finding creative solutions,well enjoy emergency makes work time,would love teach courses involving opinion theory exciting see students develop ideas express opinion,depends upon situation comfortable sometimes like invent way othertimes accepted way ease,well like people unapologetically dont worry centre attention,well think enjoy getting along realistic imaginative people,personally enjoy odd original ways saying things reading pleasure adds unique imaginative touch writing,considered practical person perks practical people often excel problemsolving getting things done efficiently,well must say friend always coming new ideas quite exciting,chosen st option ie heart rule mind,think called person real feeling higher compliment,personally believe emotions logic importance decisionmaking understanding world around us finding balance two
64,rbqbwv,hdcdd,vdgdf,cfgff,frgdf,f thx dvc,gggdgbv,chdyvcg,dddda,xsgd,fcsfd,vgxyg,tdgc,cdgfcf,gfhtcf,tgdgcfgf,wvwf,vfffd,frgd,hfuggh,grgdf,vtctc,gfughd,rv,sh cx,dr jf
65,quiet,one last hear going,deep friendship people,stand back listen first,feel free talk everyone,get introduced,really get know,keeps feelings,go plan,helps,organise carefully start,free whatever looks like fun time comes,cramp,little unpleasant tied,seeing quickly done,hate work pressure,fact based courses,accepted way,normalacting never make centre attention,realistic people,enjoy odd original ways saying things,practical person,someone feet ground,stance depends situation,person real feelings,value emotion logics
66,rather quiet reserved,one last hear going,deep friendship people,stand back listen first,certain conditions,often introduce others,right away,keep feelings,plan,sometime help sometime stress,find necessary go along,free whatever looks like fun time comes,sometime appeal sometime cramp,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,fact based courses,accepted way,normalacting never make center attention,imaginative people,like writers say exactly mean,practical person,,head rule heart,person real feeling,value logic feelings
67,quiet reserved,last also full news,deep friendship,stand back listen first,second one certain people,get introduced,get know,keep em,depends im going places dont plan somewhere plan,happens according mood different times,sometimes organize sometimes dont,second one,feel disciplined,little unpleasant,second one,emergency makes work time,fact based,ill problem accepted way want otherwise choose accepted way,second one original,realistic sometimes realistic gets pessimistic lottt dont like tell optimistic,original way saying things,practical person,dont know lol,used let heart rule head anymore opposite,consistently reasonable person,emotion logic
68,actually depends kind people quiet new people good mixer close,last hear going mostly,deep friendship people,depends frank ill talk else remain silent,certain people certain conditions new people else talk,get introduced,really get know,ill communicate people think understand communicate maximum twice share anything,sometimes plan sometimes,help,,free whatever looks like fun time comes,cramp,nice able plan accordingly,following carefully worked plan,like plan work,courses involving opinion theory,able invent ill way,normal acting never make center attention,realistic people,odd original ways saying things,box mostly,someone always coming new ideas,heart rules head mostly,yes,emotion
69,quite reserved,last,none struggle making friends,stand back listen first,certain conditions,get introduced,get know,keep,would go without plan,help,would like organize carefully starting,free whatever looks like fun,appeal,nice able plan,following worked plan,usually plan,fact based courses,depends interesting thing mostly accepted way,normalacting,realistic people,odd original ways saying things,practical person,someone coming new ideas,heart rule head,consistently reasonable person,logic feelings
70,quiet reserved,full news everybody,deep friendship people,join talk group,find lot say certain people certain conditions,often introduce others,really get know,keep feelings,plan,helps,organize carefully start,free whatever looks like fun time comes,appeal,nice able plan accordingly,dealing unexpected seeing quickly done,hate work pressure,fact based courses,accepted way,normalacting never make center attention,realistic people,enjoy odd original ways saying things,practical person,someone always coming new ideas,head rule heart,person real feeling,value logic feelings
